Student,LPIPS,SSIM
113590036.png,0.0,1.0
112590040.png,0.2351568341255188,0.64009712874293
110590455.png,0.2842462658882141,0.6659635742469143
113590015.png,0.28827354311943054,0.6211599050593734
113590061.png,0.3011811077594757,0.6326958735231488
113590021.png,0.3030654788017273,0.6347883810972045
113590044.png,0.3068104386329651,0.6358027166095586
113590062.png,0.3133660852909088,0.5554624084533603
113590031.png,0.3137827217578888,0.6425075934381044
113370239.png,0.31625720858573914,0.6319915138891958
111590028.png,0.3204074501991272,0.6576159883420366
113590045.png,0.3221951425075531,0.5743696316946374
113590001.png,0.32334208488464355,0.5980562439434529
113590060.png,0.325257807970047,0.6337864068430803
113590018.png,0.3258828818798065,0.5884791598799975
111590047.png,0.32633575797080994,0.647069116659294
113590052.png,0.3288263976573944,0.6394488374399221
113590051.png,0.3296509087085724,0.6429067765137311
113590039.png,0.33467602729797363,0.6186103129404588
114054809.png,0.3362766206264496,0.6399676404141894
112590455.png,0.3448854684829712,0.5928873281000264
112590454.png,0.34626251459121704,0.5734713633796759
113590022.png,0.3474283218383789,0.6297838459556696
111590062.png,0.3487308919429779,0.6125611231489723
113590026.png,0.3515584170818329,0.6390469095029818
113590002.png,0.3620373010635376,0.5610124040778175
113590003.png,0.3740551471710205,0.5926289180576276
113590042.png,0.37736907601356506,0.5543471634965182
113590056.png,0.3792582154273987,0.6184591019000509
113590011.png,0.38088223338127136,0.5345904558522392
113590006.png,0.38425391912460327,0.5625944792388302
113590049.png,0.39639660716056824,0.449222249950924
113590050.png,0.39815405011177063,0.5086619847606844
113AC1012.png,0.3999593257904053,0.5918978050650893
113590023.png,0.4079850912094116,0.4814285913749759
113590057.png,0.4186859726905823,0.5675238816704984
113590008.png,0.420604407787323,0.4113511243002009
113590028.png,0.4241963326931,0.49374522073341914
113590059.png,0.4375009536743164,0.4841264913362235
113590004.png,0.4375326335430145,0.6414322096027296
113590047.png,0.4431653618812561,0.6487829791018742
112590058.jpg,0.44678443670272827,0.35583410387052794
113590043.png,0.46685460209846497,0.6580719679247411
113590010.png,0.4672083258628845,0.538171460147828
113590025.png,0.47267740964889526,0.6572912772211
111590042.png,0.4966672956943512,0.665323448286638
111590455.png,0.5331409573554993,0.4533408082919186
